id,url,title,visit_count,typed_count,last_visit_time,hidden
263,https://web.whatsapp.com/,(1) WhatsApp,184,0,13374449050930230,0
278,https://www.bcv.org.ve/estadisticas/indice-de-inversion,Indice de Inversión (Base=28/10/2019) | Banco Central de Venezuela,52,0,13374332700726580,0
694,https://www30.mercantilbanco.com/olb/TimeoutFrame,Mercantil en Línea,5,0,13371850480146285,0
695,https://www30.mercantilbanco.com/olb/InitMerc,Mercantil,3,0,13370806223431236,0
696,https://www30.mercantilbanco.com/html/navigation/topLogosFrameSetLogin.jsp,,3,0,13370806225108794,1
697,https://www30.mercantilbanco.com/html/navigation/copyright.jsp,,6,0,13370806241550891,1
698,https://www30.mercantilbanco.com/olb/AuthLogin,,3,0,13370806239475991,1
699,https://www30.mercantilbanco.com/olb/InitFrame,Mercantil en Línea,3,0,13370806239735395,0
700,https://www30.mercantilbanco.com/html/navigation/topLogosFrameSet.jsp,,3,0,13370806241563930,1
702,https://www30.mercantilbanco.com/olb/GeneralDispatch?fwd=ssoRedirect,,3,0,13370806241584057,1
703,https://www30.mercantilbanco.com/html/navigation/top.jsp,,3,0,13370806241498299,1
704,https://www30.mercantilbanco.com/html/navigation/topmenunew.jsp,,3,0,13370806241531802,1
789,file:///C:/Users/aadmon05/Downloads/Retencion%20La%20Manga.pdf,Retencion La Manga.pdf,1,0,13366731335509815,0
792,file:///C:/Users/aadmon05/Downloads/86459%20VITALCLINIC.pdf,86459 VITALCLINIC.pdf,1,0,13366821577715757,0
796,file:///C:/Users/aadmon05/Downloads/RET%20IVA%20VITALCLINIC%2088239.pdf,RET IVA VITALCLINIC 88239.pdf,1,0,13366825680590264,0
797,file:///C:/Users/aadmon05/Downloads/RET%20VITALCLINIC%2089624%20(2).pdf,RET VITALCLINIC 89624 (2).pdf,1,0,13366825695636425,0
799,file:///C:/Users/aadmon05/Downloads/RET%20IVA%2092%20DROGUERIA%20VITALCLINIC.pdf,RET IVA 92 DROGUERIA VITALCLINIC.pdf,1,0,13366831324344453,0
801,https://www.bcv.org.ve/,Banco Central de Venezuela |,2,0,13367506163851806,0
802,https://www.google.com/search?q=gfg&rlz=1C1GCEU_esVE1099VE1103&oq=gfg&gs_lcrp=EgZjaHJvbWUqDwgAEAAYQxjjAhiABBiKBTIPCAAQABhDGOMCGIAEGIoFMgwIARAuGEMYgAQYigUyDAgCEC4YQxiABBiKBTIHCAMQABiABDIMCAQQLhhDGIAEGIoFMgcIBRAAGIAEMgcIBhAAGIAEMgcIBxAAGIAEMgcICBAAGIAEMgcICRAAGIAE0gEHNzUxajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,gfg - Buscar con Google,2,0,13366905888745063,0
805,file:///C:/Users/aadmon05/Downloads/VITALCLINIC%200166467.pdf,inf_com17.frx,1,0,13366913789608157,0
